Madde No;Ana Başlık;Alt Başlık;Eski Metin;Yeni Metin;Durum;AI Analiz
"	8.2.3.1.3";"8 Operation";"Organization manufacturing feasibility";"-";"-";Değişmedi;"-"
"	8.2.3.2";"8 Operation";"See ISO 9001:2015 requirements";"-";"-";Değişmedi;"-"
"	8.2.4";"8 Operation";"Changes to requirements for products and services";"-";"-";Değişmedi;"-"
"	8.3";"8 Operation";"Design and development of products and services";"-";"-";Değişmedi;"-"
"	8.3.1";"8 Operation";"General";"-";"-";Değişmedi;"-"
"	8.3.1.1";"8 Operation";"Design and development of products and services — supplemental";"-";"-";Değişmedi;"-"
"	8.3.2";"8 Operation";"Design and development planning";"-";"-";Değişmedi;"-"
"	8.3.2.1";"8 Operation";"Design and development planning — supplemental";"PFMEA ve Kontrol Planı onayları yalnızca Inverted Delta parçaları için Ford Mühendislik ve STA onayı gerektiriyordu. FMEA yazılım kullanımı tüm imalat süreçleri için zorunluydu.";"Tüm Proses FMEA ve Kontrol Planları, PPAP seviyesinden bağımsız olarak Ford Ürün Geliştirme Mühendisliği onayı gerektirir. PPAP Seviye 3, 5 ve Inverted Delta parçalar için STA onayı da zorunlu kılınmıştır. Dökme malzeme (bulk material) tedarikçileri FMEA yazılımı kullanma zorunluluğundan muaf tutulmuştur.";Değişti;"FMEA ve Kontrol Planı onay kapsamı tüm parçalar için genişletilmiştir; onay süreçlerinin Ford Ürün Geliştirme ve STA ile koordineli yürütülmesi ve dökme malzeme tedarikçilerinin muafiyet durumunu kontrol etmesi gerekmektedir."
"	8.3.2.2";"8 Operation";"Product design skills";"-";"-";Değişmedi;"-"
"	8.3.2.3";"8 Operation";"Development of products with embedded software";"-";"-";Değişmedi;"-"
"	8.3.3";"8 Operation";"Design and development inputs";"-";"-";Değişmedi;"-"
"	8.3.3.1";"8 Operation";"Product design input";"-";"-";Değişmedi;"-"
"	8.3.3.2";"8 Operation";"Manufacturing process design input";"-";"-";Değişmedi;"-"
"	8.3.3.3";"8 Operation";"Special characteristics";"-";"-";Değişmedi;"-"
"	8.3.4";"8 Operation";"Design and development controls";"-";"-";Değişmedi;"-"
"	8.3.4.1";"8 Operation";"Monitoring";"-";"-";Değişmedi;"-"
"	8.3.4.2";"8 Operation";"Design and development validation";"-";"-";Değişmedi;"-"
"	8.3.4.3";"8 Operation";"Prototype programme";"-";"-";Değişmedi;"-"
"	8.3.4.4";"8 Operation";"Product approval process";"Tedarikçi kaynaklı tasarım değişiklik önerileri yalnızca WERS üzerinden sunulabiliyordu. ePSW kullanımına ilişkin detaylı istisna kuralları bulunmuyordu.";"Varsayılan parça onay sunum süreci olarak ePSW belirlenmiştir. Tasarım değişiklik talepleri ve sapmalar WERS veya JIRA üzerinden sunulabilir. İstisnai durumlarda kâğıt PSW kullanımına izin verilen haller (SREA, Directed Tier 2, Capacity Uplift, Bulk material) tanımlanmıştır.";Değişti;"Varsayılan ePSW sürecine uyum sağlanmalı, WERS yanında JIRA ile sapma bildirim süreçleri takip edilmeli ve kağıt PSW istisnaları rehbere göre uygulanmalıdır."
"	8.3.5";"8 Operation";"Design and development outputs";"-";"-";Değişmedi;"-"
"	8.3.5.1";"8 Operation";"Design and development outputs — supplemental";"-";"-";Değişmedi;"-"
"	8.3.5.2";"8 Operation";"Manufacturing process design output";"-";"-";Değişmedi;"-"
"	8.3.6";"8 Operation";"Design and development changes";"-";"-";Değişmedi;"-"
"	8.3.6.1";"8 Operation";"Design and development changes — supplemental";"-";"-";Değişmedi;"-"
"	8.4";"8 Operation";"Control of externally provided processes, products and services";"-";"-";Değişmedi;"-"
"	8.4.1";"8 Operation";"General";"-";"-";Değişmedi;"-"
"	8.4.1.1";"8 Operation";"General — supplemental";"-";"-";Değişmedi;"-"
"	8.4.1.2";"8 Operation";"Supplier selection process";"-";"-";Değişmedi;"-"
"	8.4.1.3";"8 Operation";"Customer-directed sources (also known as “Directed–Buy”)";"-";"-";Değişmedi;"-"
"	8.4.2";"8 Operation";"Type and extent of control";"-";"-";Değişmedi;"-"
"	8.4.2.1";"8 Operation";"Type and extent of control — supplemental";"-";"-";Değişmedi;"-"
"	8.4.2.2";"8 Operation";"Statutory and regulatory requirements";"-";"-";Değişmedi;"-"
"	8.4.2.3";"8 Operation";"Supplier quality management system development";"-";"-";Değişmedi;"-"
"	8.4.2.3.1";"8 Operation";"Automotive product-related software or automotive products with embedded software";"-";"-";Değişmedi;"-"
"	8.4.2.4";"8 Operation";"Supplier monitoring";"-";"-";Değişmedi;"-"
"	8.4.2.4.1";"8 Operation";"Second-party audits";"-";"-";Değişmedi;"-"
"	8.4.2.5";"8 Operation";"Supplier development";"-";"-";Değişmedi;"-"
"	8.4.3";"8 Operation";"Information for external providers";"-";"-";Değişmedi;"-"
"	8.4.3.1";"8 Operation";"Information for external providers — supplemental";"-";"-";Değişmedi;"-"
"	8.5";"8 Operation";"Production and service provision";"-";"-";Değişmedi;"-"
"	8.5.1";"8 Operation";"Control of production and service provision";"-";"-";Değişmedi;"-"
"	8.5.1.1";"8 Operation";"Control plan";"-";"-";Değişmedi;"-"
"	8.5.1.2";"8 Operation";"Standardized work — operator instructions and visual standards";"-";"-";Değişmedi;"-"
"	8.5.1.3";"8 Operation";"Verification of job set-ups";"-";"-";Değişmedi;"-"
"	8.5.1.4";"8 Operation";"Verification after shutdown";"-";"-";Değişmedi;"-"
"	8.5.1.5";"8 Operation";"Total productive maintenance";"-";"-";Değişmedi;"-"
"	8.5.1.6";"8 Operation";"Management of production tooling and manufacturing, test, inspection tooling and";"-";"-";Değişmedi;"-"
"	8.5.1.7";"8 Operation";"Production scheduling";"-";"-";Değişmedi;"-"
"	8.5.2";"8 Operation";"Identification and traceability";"Fiziksel parça markalamasında Inverted Delta sembolünün bulunmasını muaf tutan E108 / Branding notu yer alıyordu.";"Branding (E108) ile ilgili Inverted Delta muafiyet notu metinden kaldırılmış, lojistik kılavuz bağlantıları güncellenmiştir.";Değişti;"Parça markalama ve etiketleme süreçlerinde güncel Ford Lojistik ve Parça Markalama Politikası kılavuzları kontrol edilmeli ve Inverted Delta markalama gereksinimleri yeniden gözden geçirilmelidir."
"	8.5.2.1";"8 Operation";"Identification and traceability — supplemental";"-";"-";Değişmedi;"-"
"	8.5.3";"8 Operation";"Property belonging to customers or external providers";"-";"-";Değişmedi;"-"
"	8.5.4";"8 Operation";"Preservation";"-";"-";Değişmedi;"-"
"	8.5.4.1";"8 Operation";"Preservation — supplemental";"-";"-";Değişmedi;"-"
"	8.5.5";"8 Operation";"Post-delivery activities";"-";"-";Değişmedi;"-"
"	8.5.5.1";"8 Operation";"Feedback of information from service";"-";"-";Değişmedi;"-"
"	8.5.5.2";"8 Operation";"Service agreement with customer";"-";"-";Değişmedi;"-"
"	8.5.6";"8 Operation";"Control of changes";"-";"-";Değişmedi;"-"
"	8.5.6.1";"8 Operation";"Control of changes — supplemental";"-";"-";Değişmedi;"-"
"	8.5.6.1.1";"8 Operation";"Temporary change of process controls";"-";"-";Değişmedi;"-"
"	8.6";"8 Operation";"Release of products and services";"-";"-";Değişmedi;"-"
"	8.6.1";"8 Operation";"Release of products and services — supplemental";"-";"-";Değişmedi;"-"
"	8.6.2";"8 Operation";"Layout inspection and functional testing";"-";"-";Değişmedi;"-"
"	8.6.3";"8 Operation";"Appearance items";"-";"-";Değişmedi;"-"
"	8.6.4";"8 Operation";"Verification and acceptance of conformity of externally provided products and services";"-";"-";Değişmedi;"-"
"	8.6.5";"8 Operation";"Statutory and regulatory conformity";"-";"-";Değişmedi;"-"
"	8.6.6";"8 Operation";"Acceptance criteria";"-";"-";Değişmedi;"-"
